iso3_d,hs92,potential_market_imports_sum
ARG,8102,801651169.0
ARG,8103,465976523.0
ARG,8104,1019946289.0
ARG,8105,1868651629.0
ARG,8106,60329077.0
ARG,8107,18818292.0
ARG,8108,5873834581.0
ARG,8109,347250496.0
ARG,8110,526491658.0
ARG,8111,792102623.0
ARG,8112,1601079143.0
ARG,8113,781886576.0
ARG,8201,839860366.0
ARG,8202,2251296000.0
ARG,8203,1067854233.0
ARG,8204,1344635908.0
ARG,8205,3860167964.0
ARG,8206,560576273.0
ARG,8207,10416886989.0
ARG,8208,1707287456.0
ARG,8209,3517436667.0
ARG,8210,238858321.0
ARG,8211,1339831550.0
ARG,8212,2079044217.0
ARG,8213,406085904.0
ARG,8214,525528274.0
ARG,8215,1319516142.0
ARG,8301,6277735040.0
ARG,8302,20121628790.0
ARG,8303,538563681.0
ARG,8304,175192463.0
ARG,8305,405292102.0
ARG,8306,1478515244.0
ARG,8307,1585931634.0
ARG,8308,2690195307.0
ARG,8309,3125618143.0
ARG,8310,621487342.0
ARG,8311,1897486215.0
ARG,8401,3505221155.0
ARG,8402,2248793955.0
ARG,8403,3169690614.0
ARG,8404,773945703.0
ARG,8405,555327449.0
ARG,8406,2233847289.0
ARG,8407,28160916068.0
ARG,8408,22556695401.0
ARG,8409,33152946625.0
ARG,8410,590824422.0
ARG,8411,121785036650.0
ARG,8412,13728474568.0
ARG,8413,37066678491.0
ARG,8414,54130020906.0
ARG,8415,32958608821.0
ARG,8416,1529560975.0
ARG,8417,2941871557.0
ARG,8418,24730362775.0
ARG,8419,30811479629.0
ARG,8420,924186110.0
ARG,8421,44054782011.0
ARG,8422,17666255193.0
ARG,8423,2197428503.0
ARG,8424,11825875512.0
ARG,8425,4080164625.0
ARG,8426,8544957355.0
ARG,8427,13405614656.0
ARG,8428,19274994166.0
ARG,8429,25998646435.0
ARG,8430,5433285546.0
ARG,8431,33198384933.0
ARG,8432,3989627338.0
ARG,8433,8823463088.0
ARG,8434,1028748562.0
ARG,8435,150641266.0
ARG,8436,3252931424.0
ARG,8437,1183616653.0
ARG,8438,6938069906.0
ARG,8439,2880581667.0
ARG,8440,482357929.0
ARG,8441,3831716282.0
ARG,8442,722435886.0
ARG,8443,32272565364.0
ARG,8444,439933137.0
ARG,8445,1207397885.0
ARG,8446,613549215.0
ARG,8447,905125172.0
ARG,8448,2104306156.0
ARG,8449,389308538.0
ARG,8450,9000403166.0
ARG,8451,4707036549.0
ARG,8452,2207268039.0
ARG,8453,365448475.0
ARG,8454,1646522615.0
ARG,8455,3608843128.0
ARG,8456,3990747775.0
ARG,8457,5191558421.0
ARG,8458,3496868876.0
ARG,8459,1645043600.0
ARG,8460,2187530370.0
ARG,8461,1405001076.0
ARG,8462,5103696098.0
ARG,8463,1248025097.0
ARG,8464,1376605986.0
ARG,8465,3551556145.0
ARG,8466,12063785573.0
ARG,8467,4062265612.0
ARG,8468,492935395.0
ARG,8469,17462.0
ARG,8470,3014044493.0
ARG,8471,202182370058.0
ARG,8472,2001199287.0
ARG,8473,164574407938.0
ARG,8474,8452825083.0
ARG,8475,1929365432.0
ARG,8476,1075927376.0
ARG,8477,17823275258.0
ARG,8478,863067251.0
ARG,8479,97346983712.0
ARG,8480,8967222462.0
ARG,8481,64850022989.0
ARG,8482,20787318500.0
ARG,8483,33315504403.0
ARG,8484,2598241725.0
ARG,8485,7038373472.0
ARG,8501,46200349515.0
ARG,8502,11179594549.0
ARG,8503,11950934707.0
ARG,8504,91156655800.0
ARG,8505,6299794631.0
